ticker,name,mid_listed,data_start,data_end,num_rows
003670,포스코퓨처엠,True,2016-01-04,2025-12-30,2452
004440,삼일씨엔에스,True,2016-03-30,2025-12-30,2394
009900,명신산업,True,2020-12-07,2025-12-30,1242
010400,우진아이엔에스,True,2018-09-14,2025-12-30,1789
0120G0,삼양바이오팜,True,2025-11-24,2025-12-30,26
0126Z0,삼성에피스홀딩스,True,2025-11-24,2025-12-30,26
013890,지누스,True,2019-10-30,2025-12-30,1516
016740,두올,True,2016-07-29,2025-12-30,2311
017860,DS단석,True,2023-12-22,2025-12-30,490
018250,애경산업,True,2018-03-22,2025-12-30,1909
022100,포스코DX,True,2016-01-04,2025-12-30,2452
026960,동서,True,2016-01-04,2025-12-30,2452
031210,서울보증보험,True,2025-03-14,2025-12-30,196
034230,파라다이스,True,2016-01-04,2025-12-30,2452
034830,한국토지신탁,True,2016-01-04,2025-12-30,2452
035720,카카오,True,2016-01-04,2025-12-30,2452
036420,콘텐트리중앙,True,2016-01-04,2025-12-30,2452
055490,테이팩스,True,2017-10-31,2025-12-30,2005
062040,산일전기,True,2024-07-29,2025-12-30,345
064400,LG씨엔에스,True,2025-02-05,2025-12-30,222
066970,엘앤에프,True,2016-01-04,2025-12-30,2452
068270,셀트리온,True,2016-01-04,2025-12-30,2452
070960,모나용평,True,2016-05-27,2025-12-30,2355
079900,전진건설로봇,True,2024-08-19,2025-12-30,331
089860,롯데렌탈,True,2021-08-19,2025-12-30,1068
090460,비에이치,True,2016-01-04,2025-12-30,2452
091810,티웨이항공,True,2018-08-01,2025-12-30,1820
092790,넥스틸,True,2023-08-21,2025-12-30,574
100090,SK오션플랜트,True,2016-01-04,2025-12-30,2452
101530,해태제과식품,True,2016-05-11,2025-12-30,2367
108320,LX세미콘,True,2016-01-04,2025-12-30,2452
111380,동인기연,True,2023-11-21,2025-12-30,513
123890,한국자산신탁,True,2016-07-13,2025-12-30,2323
126720,수산인더스트리,True,2022-08-01,2025-12-30,835
137310,에스디바이오센서,True,2021-07-16,2025-12-30,1091
139990,아주스틸,True,2021-08-20,2025-12-30,1067
145720,덴티움,True,2017-03-15,2025-12-30,2157
178920,PI첨단소재,True,2016-01-04,2025-12-30,2452
192080,더블유게임즈,True,2016-01-04,2025-12-30,2452
192650,드림텍,True,2019-03-14,2025-12-30,1672
195870,해성디에스,True,2016-06-24,2025-12-30,2336
207940,삼성바이오로직스,True,2016-11-10,2025-12-30,2242
229640,LS에코에너지,True,2016-09-22,2025-12-30,2276
234080,JW생명과학,True,2016-10-27,2025-12-30,2252
241560,두산밥캣,True,2016-11-18,2025-12-30,2236
241590,화승엔터프라이즈,True,2016-10-04,2025-12-30,2269
248070,솔루엠,True,2021-02-02,2025-12-30,1204
249420,일동제약,True,2016-08-31,2025-12-30,2289
251270,넷마블,True,2017-05-12,2025-12-30,2119
259960,크래프톤,True,2021-08-10,2025-12-30,1074
267250,HD현대,True,2017-05-10,2025-12-30,2121
267260,HD현대일렉트릭,True,2017-05-10,2025-12-30,2121
267270,HD건설기계,True,2017-05-10,2025-12-30,2121
267290,경동도시가스,True,2017-05-12,2025-12-30,2119
267850,아시아나IDT,True,2018-11-23,2025-12-30,1744
271560,오리온,True,2017-07-07,2025-12-30,2080
271940,일진하이솔루스,True,2021-09-01,2025-12-30,1059
271980,제일약품,True,2017-07-17,2025-12-30,2074
272210,한화시스템,True,2019-11-13,2025-12-30,1506
272450,진에어,True,2017-12-08,2025-12-30,1977
272550,삼양패키징,True,2017-11-29,2025-12-30,1984
278470,에이피알,True,2024-02-27,2025-12-30,448
280360,롯데웰푸드,True,2017-10-30,2025-12-30,2006
281820,케이씨텍,True,2017-12-05,2025-12-30,1980
282330,BGF리테일,True,2017-12-08,2025-12-30,1977
285130,SK케미칼,True,2018-01-05,2025-12-30,1960
286940,롯데이노베이트,True,2018-07-27,2025-12-30,1823
293480,하나제약,True,2018-10-02,2025-12-30,1780
294870,HDC현대산업개발,True,2018-06-12,2025-12-30,1855
298000,효성화학,True,2018-07-13,2025-12-30,1833
298020,효성티앤씨,True,2018-07-13,2025-12-30,1833
298040,효성중공업,True,2018-07-13,2025-12-30,1833
298050,HS효성첨단소재,True,2018-07-13,2025-12-30,1833
298690,에어부산,True,2018-12-27,2025-12-30,1721
300720,한일시멘트,True,2018-08-06,2025-12-30,1817
302440,SK바이오사이언스,True,2021-03-18,2025-12-30,1175
306200,세아제강,True,2018-10-05,2025-12-30,1778
307950,현대오토에버,True,2019-03-28,2025-12-30,1662
308170,씨티알모빌리티,True,2019-11-25,2025-12-30,1498
316140,우리금융지주,True,2019-02-13,2025-12-30,1692
317450,명인제약,True,2025-10-01,2025-12-30,59
322000,HD현대에너지솔루션,True,2019-11-19,2025-12-30,1502
323410,카카오뱅크,True,2021-08-06,2025-12-30,1076
326030,SK바이오팜,True,2020-07-02,2025-12-30,1349
329180,HD현대중공업,True,2021-09-17,2025-12-30,1047
336260,두산퓨얼셀,True,2019-10-18,2025-12-30,1524
336370,솔루스첨단소재,True,2019-10-18,2025-12-30,1524
339770,교촌에프앤비,True,2020-11-12,2025-12-30,1259
352820,하이브,True,2020-10-15,2025-12-30,1279
353200,대덕전자,True,2020-05-21,2025-12-30,1379
361610,SK아이이테크놀로지,True,2021-05-11,2025-12-30,1138
363280,티와이홀딩스,True,2020-09-22,2025-12-30,1292
372910,한컴라이프케어,True,2021-08-17,2025-12-30,1070
373220,LG에너지솔루션,True,2022-01-27,2025-12-30,959
375500,DL이앤씨,True,2021-01-25,2025-12-30,1210
377300,카카오페이,True,2021-11-03,2025-12-30,1019
381970,케이카,True,2021-10-13,2025-12-30,1034
383220,F&F,True,2021-05-21,2025-12-30,1131
402340,SK스퀘어,True,2021-11-29,2025-12-30,1001
403550,쏘카,True,2022-08-22,2025-12-30,821
439260,대한조선,True,2025-08-01,2025-12-30,101
443060,HD현대마린솔루션,True,2024-05-08,2025-12-30,401
446070,유니드비티플러스,True,2022-11-28,2025-12-30,755
450080,에코프로머티,True,2023-11-17,2025-12-30,515
450140,코오롱모빌리티그룹,True,2023-01-31,2025-12-30,712
452260,한화갤러리아,True,2023-03-31,2025-12-30,670
454910,두산로보틱스,True,2023-10-05,2025-12-30,545
456040,OCI,True,2023-05-30,2025-12-30,631
457190,이수스페셜티케미컬,True,2023-05-31,2025-12-30,630
460860,동국제강,True,2023-06-16,2025-12-30,619
462520,조선내화,True,2023-07-28,2025-12-30,589
462870,시프트업,True,2024-07-11,2025-12-30,357
465770,STX그린로지스,True,2023-09-15,2025-12-30,555
475150,SK이터닉스,True,2024-03-29,2025-12-30,426
483650,달바글로벌,True,2025-05-22,2025-12-30,150
484870,엠앤씨솔루션,True,2024-12-16,2025-12-30,252
487570,HS효성,True,2024-07-29,2025-12-30,345
489790,한화비전,True,2024-09-27,2025-12-30,305
499790,GS피앤엘,True,2024-12-23,2025-12-30,247
950210,프레스티지바이오파마,True,2021-02-05,2025-12-30,1201
