ticker,name
005930,삼성전자
373220,LG에너지솔루션
207940,삼성바이오로직스
000660,SK하이닉스
051910,LG화학
005935,삼성전자우
006400,삼성SDI
005380,현대차
035420,NAVER
000270,기아
035720,카카오
005490,POSCO홀딩스
068270,셀트리온
028260,삼성물산
105560,KB금융
012330,현대모비스
055550,신한지주
003670,포스코퓨처엠
096770,SK이노베이션
066570,LG전자
032830,삼성생명
034730,SK
015760,한국전력
033780,KT&G
086790,하나금융지주
003550,LG
323410,카카오뱅크
051900,LG생활건강
010130,고려아연
329180,HD현대중공업
017670,SK텔레콤
009150,삼성전기
034020,두산에너빌리티
036570,엔씨소프트
011200,HMM
018260,삼성에스디에스
010950,S-Oil
000810,삼성화재
030200,KT
003490,대한항공
009830,한화솔루션
316140,우리금융지주
259960,크래프톤
090430,아모레퍼시픽
024110,기업은행
377300,카카오페이
352820,하이브
086280,현대글로비스
011170,롯데케미칼
011070,LG이노텍
097950,CJ제일제당
302440,SK바이오사이언스
326030,SK바이오팜
000060,메리츠화재
383220,F&F
138040,메리츠금융지주
009540,HD한국조선해양
271560,오리온
035250,강원랜드
251270,넷마블
047810,한국항공우주
032640,LG유플러스
402340,SK스퀘어
028050,삼성E&A
088980,맥쿼리인프라
005830,DB손해보험
034220,LG디스플레이
010140,삼성중공업
018880,한온시스템
267250,HD현대
000100,유한양행
021240,코웨이
004020,현대제철
078930,GS
361610,SK아이이테크놀로지
161390,한국타이어앤테크놀로지
008560,메리츠증권
000720,현대건설
012450,한화에어로스페이스
006800,미래에셋증권
011780,금호석유화학
282330,BGF리테일
128940,한미약품
029780,삼성카드
011790,SKC
241560,두산밥캣
010620,HD현대미포
008770,호텔신라
004990,롯데지주
036460,한국가스공사
064350,현대로템
137310,에스디바이오센서
028670,팬오션
007070,GS리테일
071050,한국금융지주
002790,아모레퍼시픽홀딩스
112610,씨에스윈드
003410,쌍용C&E
005940,NH투자증권
005387,현대차2우B
