종목코드,종목명,종가,대비,등락률,상장시가총액
"278280","천보","49150","-1750","-3.44","572103.0"
"030520","한글과컴퓨터","22950","-50","-0.22","554925.0"
"033100","제룡전기","35100","-1050","-2.90","563791.0"
"074600","원익QnC","21450","350","1.66","563878.0"
"036620","감성코퍼레이션","5770","-80","-1.37","522207.0"
"095660","네오위즈","24300","-250","-1.02","531121.0"
"025320","시노펙스","6070","-190","-3.04","532543.0"
"056080","유진로봇","14400","-330","-2.24","540175.0"
"015750","성우하이텍","6810","40","0.59","544800.0"
"060280","큐렉소","12960","-740","-5.40","532526.0"
"101730","위메이드맥스","6160","-90","-1.44","516228.0"
"383310","에코프로에이치엔","24050","-950","-3.80","504447.0"
"365340","성일하이텍","40900","-1200","-2.85","500430.0"
"222080","씨아이에스","6650","-230","-3.34","514523.0"
"171090","선익시스템","52500","-1500","-2.78","501979.0"
"048410","현대바이오","4965","-105","-2.07","476843.0"
"053030","바이넥스","14980","-210","-1.38","489609.0"
"253590","네오셈","10960","950","9.49","480806.0"
"272290","이녹스첨단소재","22750","-250","-1.09","453354.0"
"069080","웹젠","12900","-130","-1.00","446351.0"
"050890","쏠리드","7370","-290","-3.79","447776.0"
"079370","제우스","14760","460","3.22","457811.0"
"059090","미코","13380","-60","-0.45","447116.0"
"058970","엠로","37350","600","1.63","461629.0"
"025900","동화기업","8470","-260","-2.98","428220.0"
"215200","메가스터디교육","42150","-50","-0.12","436894.0"
"352480","씨앤씨인터내셔널","29650","-950","-3.10","404127.0"
"179900","유티아이","19990","-460","-2.25","391652.0"
"046890","서울반도체","6210","-50","-0.80","362077.0"
"215000","골프존","57800","-200","-0.34","362719.0"
"200130","콜마비앤에이치","12800","-80","-0.62","376519.0"
"194480","데브시스터즈","30300","-250","-0.82","367513.0"
"078340","컴투스","29050","0","0.00","370032.0"
"304100","솔트룩스","26650","-600","-2.20","335626.0"
"108860","셀바스AI","12200","-190","-1.53","328360.0"
"101360","에코앤드림","17620","-780","-4.24","313391.0"
