stock,return,market,excess,sharpe,max_dd,win_rate,trades
005950_이수화학,212.9832489209925,30.091703988056917,182.8915449329356,1.2112928654286197,-65.27863416432633,42.81984334203655,32
007340_동아타이어,320.7958853942382,211.84076216400123,108.95512323023698,1.53302209007076,-24.871531343877116,48.423707440100884,27
000480_조선내화,72.30287887423302,-35.95505617977518,108.25793505400819,0.6420114470474143,-45.05311397300801,43.97098821396192,9
047050_대우인터내셔널,201.61513351576232,116.07629427792925,85.53883923783307,0.7524468306523487,-54.68749999477338,44.84536082474227,9
078520_에이블씨엔씨,31.003473876842857,-34.460093896713396,65.46356777355625,0.45611383245015635,-60.86414895926996,43.82775119617225,15
002380_KCC,71.84314688540508,14.878048780486974,56.9650981049181,0.7512181842100661,-54.27645823223977,45.85575888051668,22
001230_동국제강,104.01337356654774,48.05142627561241,55.961947290935335,0.5652931371016675,-60.44989338738349,45.91474245115453,13
001440_대한전선,154.701288866893,102.91173794358515,51.78955092330786,0.6717659177571593,-71.7653015899392,43.50758853288364,7
128940_한미약품,51.024838410062316,2.986422681244827,48.03841572881749,0.43203653132035785,-34.918933751884765,44.636678200692046,13
009830_한화케미칼,16.45774816099934,-27.94564634364386,44.4033945046432,0.40534694675828703,-71.62353768673609,42.9940119760479,16
025540_한국단자,101.35512936764077,58.53080568720359,42.82432368043718,0.6605526486514979,-34.71376736644212,43.646408839779006,21
007690_국도화학,26.004975819626573,-13.119982404046537,39.12495822367311,0.5107699403359282,-47.15021145275763,43.850931677018636,25
093370_후성,0.6734828297408235,-37.3425692695215,38.016052099262325,0.4215797644396344,-68.29959581938199,46.5,26
012630_현대산업,45.19744461414319,9.266055045871813,35.93138956827137,0.599020567756064,-63.90267953057107,45.32163742690059,15
002240_고려제강,48.40396006441849,17.12598425196834,31.27797581245015,0.4467284802483976,-45.46158311919985,44.43470639789658,11
069620_대웅제약,17.480172773150926,-7.3992673992670515,24.87944017241798,0.485214252134793,-62.27358577349311,45.28462192013593,5
010140_삼성중공업,90.36881783951713,65.81071166544436,24.558106174072776,0.6622288307744923,-42.30269287265385,46.07664233576642,13
000140_하이트진로홀딩스,-6.649174106021361,-31.060606060606013,24.41143195458465,0.03000739301429223,-56.69214589565289,43.51851851851852,11
049770_동원F&B,-6.563939248785888,-30.603669847797565,24.039730599011676,0.13385376528014942,-47.313559143087154,43.52736750651607,5
003550_LG,28.833364136565343,7.197093767679652,21.63627036888569,0.3050842471779425,-42.25960775646454,47.2972972972973,13
016800_퍼시스,59.14770797962701,38.5398981324286,20.60780984719841,0.4555463627089161,-45.346723516453324,47.39057239057239,3
064960_S&T모티브,12.852767744206538,-7.568062609275239,20.420830353481776,0.24809288878246924,-48.35730514907265,47.93315743183817,9
000070_삼양홀딩스,17.56857877878948,-2.6742969115323145,20.242875690321796,0.3167186722303384,-53.91680911452477,45.64643799472295,7
018880_한라비스테온공조,-42.933398070122934,-62.874788325530396,19.941390255407462,0.1365072568460569,-68.0959562610574,44.69135802469136,28
001740_SK네트웍스,-9.873670479376184,-29.661016949152764,19.78734646977658,0.12291469504836221,-36.744254491001705,45.16711833785004,13
014830_유니드,53.467711680412066,34.37412879843917,19.093582881972893,0.41935125978101745,-46.43861468059385,42.981501632208925,21
005180_빙그레,62.32621934427402,44.5825932504438,17.743626093830223,0.3302972445722821,-46.04105571461718,44.982993197278915,5
003920_남양유업,51.91000563402331,34.9611440658482,16.948861568175104,0.5101377429157568,-43.24740251072303,46.26998223801066,19
007810_코리아써키트,-7.559734080342572,-23.99999999999991,16.44026591965734,0.24662451308439723,-73.51475068765497,43.542435424354245,13
090430_아모레퍼시픽,-33.30066150037484,-49.493975903614526,16.19331440323969,0.2052182093321426,-72.65916040758528,46.370235934664244,15
023530_롯데쇼핑,-44.05771565512453,-60.07380073800721,16.016085082882675,-0.30976904692080104,-53.81681206851396,42.9097605893186,9
003300_한일시멘트,90.79442192604186,74.82517482517355,15.969247100868316,0.9373000139561264,-20.470502834484442,47.75051124744376,23
170900_동아에스티,-32.31856733411475,-47.331220835197875,15.012653501083122,-0.05256230178193957,-54.6941911406722,46.247818499127405,7
008060_대덕전자,-21.832482437758028,-36.23188405797075,14.399401620212725,-0.05299387268572841,-43.409776114393054,44.3336355394379,7
009580_무림P&P,-20.43062435839532,-33.684210526315674,13.253586167920353,0.07809932189309128,-54.4437160565691,43.784994400895854,21
020760_일진디스플,-58.517619397512874,-71.19055883373824,12.672939436225363,-0.033051339462337424,-83.13393867164152,40.66047471620227,29
069960_현대백화점,-34.94863461134457,-44.9941792782309,10.045544666886329,-0.15183263994747265,-56.714336344144535,45.43795620437956,11
015760_한국전력,-20.043520080654144,-29.649122807017648,9.605602726363504,0.11628475306717224,-42.43549279858399,43.811394891944985,22
034120_SBS,12.988201443066583,3.5046728971962926,9.48352854587029,0.40681521507551016,-72.36769162123949,42.69662921348314,12
005850_에스엘,120.02205883519666,110.7212748112942,9.300784023902466,0.6450868069786708,-44.73771053061457,44.65408805031446,7
004990_롯데제과,-35.386441816901325,-42.17506631299749,6.788624496096162,-0.04384775337446693,-48.97537557246153,43.40753424657534,11
004490_세방전지,102.03699570342768,96.1800818553886,5.856913848039085,0.5738159453739363,-67.15596330055973,46.36209813874789,7
